date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:07	1346657/1346657	---MCZ	200	added ('OK')	application/javascript	etag:W/%22148c61-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/pages/_app-5f8f9f307588ce98.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/pages/_app-5f8f9f307588ce98.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:07	25425/25425	---MCZ	200	added ('OK')	application/javascript	etag:W/%226351-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/2298-9ecbc9c52ec42977.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/2298-9ecbc9c52ec42977.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:07	7916/7916	---MCZ	200	added ('OK')	application/javascript	etag:W/%221eec-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/7361-df571cffbc640280.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/7361-df571cffbc640280.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:07	7587/7587	---MCZ	200	added ('OK')	application/javascript	etag:W/%221da3-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/5152-eb6db33920c45ec1.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/5152-eb6db33920c45ec1.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:08	10383/10383	---MCZ	200	added ('OK')	application/javascript	etag:W/%22288f-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/4811-34eba5318312a81a.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/4811-34eba5318312a81a.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:08	33072/33072	---MCZ	200	added ('OK')	application/javascript	etag:W/%228130-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/chunks/pages/life-at-vlu/center/%5Bslug%5D-dacee8628585f20c.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/chunks/pages/life-at-vlu/center/[slug]-dacee8628585f20c.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:08	24094/24094	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e1e-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/sRb3ldQ3sEndJ9dwT6biO/_buildManifest.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/sRb3ldQ3sEndJ9dwT6biO/_buildManifest.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:08	77/77	---M--	200	added ('OK')	application/javascript	etag:W/%224d-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/sRb3ldQ3sEndJ9dwT6biO/_ssgManifest.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/sRb3ldQ3sEndJ9dwT6biO/_ssgManifest.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:09	92/92	---M--	200	added ('OK')	application/javascript	etag:W/%225c-19809c05b50%22	https://www.vlu.edu.vn/_next/static/sRb3ldQ3sEndJ9dwT6biO/_middlewareManifest.js	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/sRb3ldQ3sEndJ9dwT6biO/_middlewareManifest.js	(from https://www.vlu.edu.vn/life-at-vlu/center/trung-tam-ho-tro-sinh-vien)
17:10:09	4178/4178	---M--	200	added ('OK')	image/gif	etag:W/%221052-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/media/ajax-loader.0b80f665.gif	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/media/ajax-loader.0b80f665.gif	(from https://www.vlu.edu.vn/_next/static/css/0def24e653ad0efe.css)
17:10:10	176043/176043	---M--	200	added ('OK')	image/png	etag:W/%222afab-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/media/information_form_avatar.fbb49665.png	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/media/information_form_avatar.fbb49665.png	(from https://www.vlu.edu.vn/_next/static/css/0def24e653ad0efe.css)
17:10:10	4692/4692	---M--	200	added ('OK')	image/png	etag:W/%221254-19809bff1d8%22	https://www.vlu.edu.vn/_next/static/media/information_form_bg_mobile.37f1ea3b.png	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/_next/static/media/information_form_bg_mobile.37f1ea3b.png	(from https://www.vlu.edu.vn/_next/static/css/0def24e653ad0efe.css)
17:10:10	1263/1263	---M--	200	added ('OK')	image/png	etag:W/%224ef-19809bd7138%22	https://www.vlu.edu.vn/images/section-27_background-pattern-3.png	D:/VLU/vlu-support-page/vlu-static/vlu-support-page/www.vlu.edu.vn/images/section-27_background-pattern-3.png	(from https://www.vlu.edu.vn/_next/static/css/5e80c32744fdb59b.css)
